INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
V.4.5;Sammlung lose Blätter;o. Aufschrift (Toscana. Rossellino);T;;;;;"271 Notizen und Skizzen, 2 Zeichnungen (Transparentpapier), 24 Fotos (1 Platte), 1 Abbildung: (in 13 Umschläge; Gianbologna; Baccio Bandinelli; Bronzino; Rovezzano; Rossellino u.a.)";;;298;;> 8958 (2x Skizze) (3x Fotos) (3x Skizzen) (2x Skizzen) (7x Skizzen) (8x Skizzen) (1x Zeichnung) (... Zeichnungen) - 8999;;;
V.4.6;Sammlung lose Blätter;o . Aufschrift;T;;;1901, 1902;;"30 Notizen, 26 Fotos (Positive zu Negativen in V.4.5) (5 Negative; Indien; St. Petersburg Palast Polovtzoff u.a.), 6 Zeitungen (Michaelangelo u.a.; 5 Beilage zur Allgemeinen Zeitung 1901 1902; Sonntagsbeilage zur Allgemeinen Schweizer Zeitung 1901), 26 Typoskript (Toscana; Giulano da Majano), 7 Korrekturfahnen (Toscanawerk): (in 7 Umschläge)";;;95;;> 9000 (5x Fotos) (1x Skizze) (7x Fotos) (3x Negative) - 9015;;;
V.4.7;Sammlung lose Blätter;o . Aufschrift;SP TH (?) S;;;1891;XXX;"14 Notizen, 6 Fotos (St. Peter; Stuttgart; Coll. Destailleur; Rubens; u.a.), 1 Zeitungsausschnitt";;;21;;> 9016 (3x Foto) - 9018;;;
V.4.8;Sammlung lose Blätter;o . Aufschrift (Toscana);T;;;1897, 1899, 1904;;"312 Notizen und Skizzen, 1 Zeichnung (Transparentpapier; Montepulciano; Palazzo Publico), 3 Fotos, 3 Zeitungsausschnitte (Arte e Storia 1897, 1904), 1 Typoskript (69 Blätter; Toscanawerk), 1 Brief (Gir. Mancini 1899): (in 12 Umschläge)";;;289;;> 9019 (1x Foto) (3x Skizzen) (7x Skizzen) - 9029;;;
V.4.9;Sammlung lose Blätter;o . Aufschrift (Toscana);T S;;;1889, 1901, 1902, 1903;;"327 Notizen und Skizzen, 1 Typoskript (192 Blätter Toscanawerk), 6 Zeitungsausschnitte (3 Beilage zur allgemienen Zeitung 1903; 1 Straßburger Post 1902; 1 Arte e Storia 1903; 1 Chronique 1901), 1 Broschüre (Amman; Guide historique des Habitation Humanes reconstitueés par Charles Garnier 1889): (in 30 Umschläge mit Einzelblätter; Fensterformen; Donatello [Nachtrag]; Jacopo dell Quercia; Alberti [Nachtrag]; Rosselino; Lucchesen, Paläste; u.a.)";;;528;;> 9030 (1x Skizze);;;
V.4.10.a;Sammlung lose Blätter;"o. Aufschrift (Thesaurus. Egger); Konzepte zu den Begleitschreiben und Eingaben";Th;;;1892, 1893;XXX;18 Briefenrtwürfe zum Thesaurus (1892 1893);;;18;;;;;
V.4.10.b;Sammlung lose Blätter;"o. Aufschrift (Thesaurus. Egger); Subskription Thesaurus";Th;;;1893;XXX;"60 Notizen, 6 Zeitungsausschnitte, 2 Briefe (W. de Weiss 1893; G. Aitchison 1893), 3 Visitenkarten (2 Felix de Zamboni <Hotel Matschakerhof>; 1 Paul Kristeller)";;;71;;;;;
V.4.10.c;Sammlung lose Blätter;"o. Aufschrift (Thesaurus. Egger); Berechnung von Kosten (Thesaurus)";Th;;;;XXX;56 Notizen (u.a. Adressen- bzw. Namensliste), 1 Bestätigung (Rechnung);;;57;;;;;
V.4.10.d;Sammlung lose Blätter;"o. Aufschrift (Thesaurus. Egger); Versendung des Prospektes (Thesaurus)";Th;;;1877, 1893;XXX;"8 Notizen, 8 Briefe (1 Baron Fréevérickes <Ministère de la Maison de l'Emperreur> 1893; 2 Un... ? 1893; 1 Richard Grimm [Bibliothek des Zaren] 1893; 2 Nadin Polovtzoff 1893; 1 D. Gnoli <Archivio Storico dell' Arte> 1893; 1 Josef Schönbrunner [Albertina] 1893; 1 Susi Hubichen Lichtenhahn 1877; 1 Dr. ...schneider ? 1893 [Mainz]), 1 Prospekt Thesaurus 1893";;;17;;> 9031 (... Briefe) - 9056 (2x Skizzen) - 9058;;;
V.4.10.e;Sammlung lose Blätter;"o. Aufschrift (Thesaurus. Egger); Konzepte für den Prospekt";Th;;;;XXX;50 Notizen;;;50;;;;;
V.4.10.f;Sammlung lose Blätter;"o. Aufschrift (Thesaurus. Egger); Quellenmaterial zum Thesaurus";Th;;;1891, 1893, 1901;XXX;"134 Notizen, 1 Zeichnung (Transparentpapier), 2 Zeitungsausschnitte (Woman 1891), 3 Briefe (G. Baldwin Brown <Bibliothekar in Edinburgh> k.A.; 2 Henry Eichbaum 1901 [London; Cousin]), 2 Rechnungen (Berthaud Freres [Paris] 1893)";;;142;;> 8059 (1x Skizze) (2x Briefe) (1x Skizze) - 9066;;;
V.5.1;Sammlung lose Blätter;Tesorena Notariatsprotokolle (depositeria);SP;;;;;36 Abschriften (Rom Staatsarchiv [Vatikanarchiv?]);;;36;;;;;
V.5.2;Sammlung lose Blätter;Elemente per la Risposta de Geymüller al Gnoli;SP (?);;;;;25 Notizen (Exzerpte);;;25;;;;;
V.5.3;Sammlung lose Blätter;o. Aufschrift (Thesaurus);Th S;;;1872,  1874, 1892, 1893;;16 Notizen (Decoration of S. Pauls), 1 Zeitungsausschnitt (Times 1874), 2 Prospekte (Thesaurus 1892 1893);;;19;;;;;
V.5.4;Sammlung lose Blätter;o. Aufschrift (Julius III. Clemens II Clemens VII);SP;;;1902;;"297 Abschriften (Archivio St. Peter; Fabrica di S. Giovanni in Laterano 1597-1601): (in 20 Umschläge mit Einzlelblätter; Julius III.; Clemens VII.: VII.; Pius IV.; Pius V.)";;;297;;;;;
V.5.5;Sammlung lose Blätter;Arch. Vat. ;SP;;;;;"38 Abschriften (Archivio Vaticano; Staatsarchiv Rom)";;;38;;;;;
V.5.6;Sammlung lose Blätter;Fabbr. Di San Pietro;SP;;;;;"301 Abschriften (Archivio della Fabrica St. Peter; Libri de Manuali)";;;301;;;;;
V.5.7;Sammlung lose Blätter;Päpste (Pius II., Sixtus IV., Nikolaus V.);SP;;;;;20 Abschriften (Fabrica S. Pietro);;;20;;;;;
V.5.8;Sammlung lose Blätter;II. Mandati;SP;;;;;"40 Abschriften (Rom Staatsarchiv; Mandati)";;;40;;;;;
V.5.9;Sammlung lose Blätter;o. Aufschriften (Arch. Sec. Vat.);SP;;;;;56 Abschriften und Notizen (Archivio Secreto Vaticano): (in 3 Umschläge);;;56;;;;;
V.5.10;Sammlung lose Blätter;Tesoria Segreta ;SP;;;;;103 Abschriften (Tesoria Segreta), 1 Zeitungsausschnitt;;;104;;;;;
V.5.11;Sammlung lose Blätter;Mandate II 1500 al 1550;SP;;;;;77 Abschriften (Mandati II. 1500-1550);;;77;;;;;
V.5.12;Sammlung lose Blätter;Tesoria segr. 1540-1550;SP;;;;;"22 Abschriften (Rom Staatsarchiv; Tesoria segreta)";;;22;;;;;
V.5.13;Sammlung lose Blätter;Provenace incertaine;SP;;;;;"95 Notizen und Abschriften (Tesoro Pontificio; Vescovo di Narbona; Archivio del Vaticano; u.a.): (in 6 Umschläge)";;;95;;;;;
V.5.14;Sammlung lose Blätter;Arch. Seg. Vat. Greg. XIII.;SP;;;;;"141 Abschriften (Archivio Segreto Vaticano; Gregorio XIII.): (in 3 Umschläge)";;;141;;;;;
V.5.15;Sammlung lose Blätter;(Bramante);SP B;;;1874, 1908;;30 Notizen und Skizzen, 2 Abbildungen, 2 Estampe attributeés a Bramante (Gazette des Beaux-Arts 1874), 1 Prospekt: (in 2 Umschläge mit Einzelblätter);;;33;;> 9067 (1x Skizze);;;
V.5.16;Sammlung lose Blätter;Geschichte ;S;;;1888, 1899, 1900, 1901;;"3 Notizen, 16 Zeitungsausschnitte (...1888 13x Beilage zur Allgemeinen Zeitung 1901 1902 1903 1906; 1 Badner Tagblatt 1902; 5x Sontagsbeilage der Allgemeine Schweizer Zeitung 1899 1900)";;;19;;;;;
V.5.17;Sammlung lose Blätter;Paris Exhibitiones;S;;;1900;;5 Abbildungen (Plan Weltausstellung 1900 u.a.), 11 Zeitungsausschnitte (The Builder 1900);;;16;;;;;
V.5.18;Sammlung lose Blätter;Florenz. Institut. Concorso;S DPF;;;1899, 1902;XXX;"1 Zeitungsausschnitt (La Nazione 1903), 5 Briefe (1 Elena Th. 1899; 1 ... [Florenz] 1988; 1 Karte Acc. Fl. 1902; 3 Pio Rajna 1899), 2 Aufgabescheine, 3 Ausscheibungen (Florenz; Oltarno), 2 Broschüren (Società Italiana per l'Arte Pubblica; Fond. Villari), 1 Einladung (Pitero Torrigiani) 2 ""Lettera aperta"" (Torrone dell'Arte della Lana), 3 Lagepläne (für Ausschreibung Stadtplanung [Florenz]), 2 Aufgabescheine: (in 3 Umschläge mit Einzelblätter)";;;16;;> 9068 (2x Skizze) - 9069;;;
V.5.19;Sammlung lose Blätter;o. Aufschrift (Leonoardo);T L;;;1901, 1902 1904;;"232 Notizen und Skizzen, 10 Fotos (Leonardo), 8 Zeitungsausschnitte (1 Revue Scientifique 1901; 1 Basler Nachrichten 1904; 1 Beilage zur Allgemeinen Zeitung 1902; 1 Der Tag 1902; 1 La Perserveranza 1902; 1 Chronique 1901; 2 Arte e Storia 1901), 3 Druckbögen (Toscanawerk), 1 Titellayout (Leonardo; Toscanawerk), 1 Karte (Gustavo Frizzoni 1901)";;;256;;> 9070 (7x Layout) - 9076 (10x Fotos) (1x Karte) - 9087;;;
V.6.1;Sammlung lose Blätter;o. Aufschrift (Leonardo. Künstler alphabetisch);L S;;;1884, 1894, 1895, 1896;;"67 Notizen und Skizzen, 6 Zeichnungen (Transparentpapier; Museum Brüssel), 11 Zeitungsausschnitte (1 The Builder 1902; 2x Beilage zur Allgemeinen Zeitung 1903 1904; 1 Chronique 1906; 2x Journal de Geneve 1909; 1 Basler Nachrichten 1905), 9 Briefe (1 Delaborde 1894; 1 H. Francoise D 1894, 2 Charles Rvaisson-Mollier 1896/79; 1 Jean Paul Richter 1884; 3 Gustavo Riumati 1895; 1 Eugene Müntz 1895; 1 M. Paul Cannery 1886; Luca Beltrami <Ufficio Regionale per la Conservazione dei Monumenti della Lombardia> 1895), 1 Wahlkarte: (in 10 Umschläge; Mantegna; Mangone; Madame de Stael; Ruskin)";;;95;;> 9088 (5x Skizzen) - 9092 (...Briefe) - 9120;;;
V.6.2;Sammlung lose Blätter;o . Aufschrift;T S;;;;;"237 Notizen und Skizzen (Toscana u. a.), 2 Broschüren (Association Sciences franceses; Bulletin L'Afas 1901), 5 Zeitungsausschnitte (5x Beilage zur Allgemeinen Zeitung 1904; Basler Nachrichten 1903), 1 Mitgliedeskarte (Association Sciences franceses), 1 Stadtplan (D'Ajaccio)";;;246;;> 9121 (1x Umschlag) (1x Plan) - 9122;;;
V.6.3;Sammlung lose Blätter;o . Aufschrift;T S;;;1886, 1900, 1902, 1903;;"282 Notizen und Skizzen, 3 Zeichnungen (Transparentpapier), 3 Fotos (Cadouin; Dordogne; Paris Notre Dame), 1 Abbildung, 31 Zeitungsausschnitte (5x Beilage zur Allgemeinen Zeitung 1886 1900 1903; Schweizer Zeitung 1900; Le Monde Monderne 1897; Journal de Genève 1897; Le Figaro 1897; 2x Chronique 1899 1901; Allgemeine Zeitung 1900; Frankfurter Zeitung 1905; Corriere della Sera ?), 9 Briefe (1 Gustavo Frizzoni 1903; 2 Seeber 1902; 1 Boissonas 1903; 1 Roger Seydouse 1900; 2 Tscharner de Bonstetten > Bertha Geymüller 1903 [Auborne]), 6 Prospekte, 1 Theaterprogramm, 1 Visitenkarte (Muriel Baldwin), 1 Postbestätigung: (in 26 Umschläge; div. Themen; Dekoration; Details; franz. Gotik usw.)";;;339;;> 9123 (... Briefe Skizzen) (3x Fotos) (4x Zeichnung) (3x Skizzen) - 9150;;;
V.6.4.a;Sammlung lose Blätter;"o. Aufschrift (Personen); Vierge au Rocher";L;;;1894, 1898, 1902, 1904;;"9 Artikel (Frizzoni; Chronique des Arts 1894; 2 Müntz; 1 Geymüller 1894; 1 Cook 1898; 2 Diego S. Ambrogio; Arte e Storia 1902; 1 Berloglio Pisani Arte e Storia 1903; 1 Durand_Greville; Chronique 1904), 1 Brief (Charles Eastlake <National Gallery> 1894)";;;10;;> 9151 (Brief);;;
V.6.4.b;Sammlung lose Blätter;"o. Aufschrift (Personen); Roslin (Geymüllers Roslin)";S;;;1870;;"7 Notizen und Skizzen, 1 Zeichnung (Transparentpapier; Signaturprobe), 2 Zeitungsausschnitte (1870 Roslin), 1 Guache (Kopie Roslin), 1 Empfangsbestätigung (zwei Ölgemälde von Roslin; Emil Wolter [Baden-Baden])";;;12;;> 9152 (4x Skizzen und Zeichnungen) - 9155;;;
V.6.4.c;Sammlung lose Blätter;"o. Afuschrift (Personen); Masaccio";T S;;;1903;;"34 Notizen und Skizzen (Masaccio), 3 Karten (2 Magherini Grazzani 1903; 1 ? 1903), 3 Briefentwürfe, 3 Einladungen zum Masaccio-Jubiläumm, 1 Mitgliedskarte (Ehren-Komitee Masaccio)";;;43;;> 9156 (3x Karten) 9159;;;
V.6.4.d;Sammlung lose Blätter;"o . Aufschrift; Dal Nardini (Dom Florenz)";T;;;;;"79 Notizen und Skizzen (Exzerpte aus Nardini; technische Fragen; Chronologie)";;;79;;;;;
V.6.4.e;Sammlung lose Blätter;"o. Aufschrift; o. Aufschrift";S;;;1890, 1897, 1905, 1906 f;;"5 Notizen, ? Zeitungsausschnitte (Reber; Allgemeine Zeitung; L'Église libre 1897; 2x Chronique 1890 1906), 1 Briefentwurf (4 Blätter 1905), 1 Kaufbestätigung (Medaille; Roty), 56 Prospekte (Exposition universel; Maschinen; Möbel; usw.), 1 Visitenkarte (E. Müntz)";;;71;;> 9160 - 9161;;;
V.6.5;Sammlung lose Blätter;Briefe der Kupferstecher (Tsocana);T;;;1899, 1900, 1901;;3 Notizen, 52 Briefe (48 + 3 Karten F. Rorich 1899-1901, 1 Karte J. Berg 1901), 7 Postbestätigungen;;;62;PIA 01.04.2015;;;;
V.6.6;Notizbuch;II Daly (Cesar);Rf (?);;;;;"1 Notizbuch (110 Seiten; Abschriften zur Architektur Frankreich)";;;1;PIA 01.04.2015;;;;
V.6.7;Sammlung lose Blätter;o . Aufschrift;Rf S;;;1893;;"40 Notizen (Abschriften aus Lamartine; Auerbach 1893), 1 Zeichnung (Transparentpapier), 1 Zeitungsausschnitt (Chronique): (in 9 Umschläge mit Einzelblätter)";;;42;PIA 01.04.2015;;;;
V.6.8;Sammlung lose Blätter;o . Aufschrift;Rf;;;1886, 1895, 1896, 1900;;220 Notizen (z.T. Abschriften aus Lemonnier usw.), 4 Zeitungsausschnitte (Chronique 1886 1895 1900): (in 9 Umschläge);;;224;PIA 01.04.2015;;;;
V.6.9;Sammlung lose Blätter;o . Aufschrift;T L S (?);;;1876, 1877, 1882, 1886;;"132 Notizen und Skizzen, 9 Zeitungsausschnitte (2 Arte e Storia 1890 1905; 1 Balser Allgemeine Zeitung; 1 Mornig Journal Courier [Amines] 1909; 1 New York Herald [Goodyear]; 2 Beilage zur allgemeinen Zeitung 1903 1905; 1 Bl ...?), 4 Abschriften (maschinell), 4 Briefe (1 Karte ...?, 1 Förster 1882; 1 Gustavo Uziello 1899; 2 Ed. Hibis-Heusler [Basel] 1886, 1 Telegrammaufgabeschein (Bauzeitung): (in 14 Umschläge mit einzelblätter)";;;137;PIA 01.04.2015;;;;
V.6.10;Sammlung lose Blätter;Ms Jocopo della Quercia;T;;;1905;;39 Notizen (Ms zu Jacopo dell Quercia 1905 vollendet);;;39;PIA 01.04.2015;;;;
V.6.11;Sammlung lose Blätter;o . Aufschrift;B Hk;;;1906;;"1 Werkverzeichnis (34 Blätter; Bramante), 1 abbildung (Hohkönigsburg), 1 Zeitungsausschnitt (?), 1 Brief (""christliche Kunst"" 1906)";;;37;PIA 01.04.2015;;;;
V.6.12;Sammlung lose Blätter;o . Aufschrift;S;;;;;"32 Fotos (18 Negative) (Lausanne; Canton Vaud; Lubry; Savoie): (in 4 Umschläge)";;;32;PIA 01.04.2015;;;;
V.6.13;Sammlung lose Blätter;o . Aufschrift;SP B S;;;1886;;"62 Notizen und Skizzen (Bramante), 1 Zeitungsausschnitt (Beilage zur allgemeinen Zeitung), 1 E. Müntz ""Les Origins du Realisme (01.04.1886) (mit Anmerkungen und Aufzeichnungen von Geymüller): (in 7 Umschläge mit Einzelblätter)";;;64;PIA 01.04.2015;;;;
V.6.14;Sammlung lose Blätter;G. B. da Majano;T;;;;;51 Notizen (da Majano), 1 Typoskript (4 Seiten), 3 Korrekturfahnen (Toscana): (in 2 Umschläge mit Einzelblätter);;;58;PIA 01.04.2015;;;;
V.6.15;Sammlung lose Blätter;o . Aufschrift;TS;;;1904;;"90 Notizen und Skizzen (gemalte Architekturen), 2 Briefe (1 British School at Rome 1904; 1 Briefentwurf Geymüller > British School at Rome): (in 3 Umschläge; Toscana; Bossen; usw.)";;;92;PIA 01.04.2015;;;;
V.6.16.a;Sammlung lose Blätter;"o . Aufschrift; S. Pierre. Lettres d'Editeur et Photogr.";SP;;;1874, 1875, 1876, 1877;;"19 Briefe (8 Djardin 1876.1878; 2 Morel 1874; 3 Jul. Leth [Wien] 1875/76; 1+ 1 Karte Lehmann / Wentze 1876/77; 2 Obernetter 1876/77; 2 Seemann 1874/75), 3 Rechnungen (Löwy; Obernetter): (in 6 Umschläge)";;;22;PIA 01.04.2015;;;;
V.6.16.b;Sammlung lose Blätter;"o . Aufschrift; Genres Ouvries. Leur Organisation. Salario";S;;;;;"73 Notizen und Skizzen (Jean Mignot; Dom Mailand u.a.): (in 3 Umschläge)";;;73;PIA 01.04.2015;;;;
V.6.17;Sammlung lose Blätter;"Toscana (Raffael; Peruzzi; S. Gallo; Vignola)";T;;;;;"1 Manuskript (78 Blätter; Raffael), 42 Seiten Tyroskript (Vignola; Peruzzi; A. Sangallo) ";;;120;PIA 01.04.2015;;;;
V.6.18;Sammlung lose Blätter;o . Aufschrift;S;;;;;"17 Fotos (7 Negative; Peruzzi) (Aufschriften Eggers; Vorlagen für Eggers Peruzzi-Afusatz 1902): (in 9 Umschläge)";;;17;PIA 01.04.2015;;;;
V.6.19;Sammlung lose Blätter;o. Aufschrift (Siena);T;;;1903, 1905;;"177 Notizen und Skizzen, 8 Fotos (3 Negative; Siena; Villa Salviati Florenz), 12 Anischtskarten (Siena), 5 Zeitungsausschnitte (2x Arte e Storia 1903; Il Marzocco 1903; S. Francesco Fassade), 1 Korrekturfahne Toscana (Guidocci di Andrea): (in 20 Umschläge; Siena)";;;203;PIA 01.04.2015;;;;
V.6.20;Sammlung lose Blätter;o . Aufschrift;T L Mich S;;;;;"40 Fotos (13 Negative) (Michaelangelo; London; Grundriß S. Maria degli Angeli; Collezione Morelli; Frizzoni): (in 3 Umschläge)";;;40;PIA 01.04.2015;;;;
V.6.21;Sammlung lose Blätter;o . Aufschrift (Toscana);T;;;1890;;"49 Notizen (Peruzzi; Antonio da Sangallo; Vigonla; Raffael), 1 Typoskript (19 Blätter), 1 Abbildung, 1 Arte e Storia 1890, 1 Brief (Caffi 1890), 3 Korrekturfahnen (Geymüller; der Vierungsturm des Doms von Mailand), 1 Visitenkarte (Guiditta Cusani Bellerio 1890): (in 5 Umschlägen) ";;;75;PIA 01.04.2015;;;;
V.6.22;Sammlung lose Blätter;Lettres sur le... Cathedrale de Milan;S;;;1890, 1891;;"4 Zeitungsausschnitte (3x Arte e Storia 1890), 20 Briefe (1 Fd. Darten 1890; 1 Mastrani[?], 1 Accademia di Belle Arti 1890, 1 Ed. Zuhry 1890, 1 Falkner 1890, 1 de Chazelle 1890, 2 ...? [London] 1890/91, 1 Carotti [Brera] 1890, 1 Camillo Boito, 2 Caffi 1890, 1 Normand 1890, 1 Galliard 1890, 1 G. Palmieri Nuti 1890, 1 C. Carati 1891, 1 Harold G. Robins 1891, 1 Luca Beltrami 1890, 2 ...? 1890/91), 9 Visitenkarten (P. Dubios; A. N. Bailly; Barbet de Jouy; Marchese Pietro Torrigiani; de Chennevieres; Jules Thomas; Alfred Hubert; Lucienne Magne; Giuditta Cesari) 1 Erhaltsbestätigung (Geymüller; Chathedrale de Milan; RIBA)";;;34;PIA 01.04.2015;;;;
V.6.23;Sammlung lose Blätter;o. Aufschrift (Giuliano da Sangallo);T;;;;;"100 Notizen (Giuliano da Sangallo; Toscana), 11 Korrekturfahnen (Toscana; Giuliano da Sangallo): (in 2 Umschläge)";;;111;PIA 01.04.2015;;;;
V.6.24;Sammlung lose Blätter;o . Aufschrift;T Rf;;;1890;;"19 Notizen und Skizzen, 58 Fotos (31 Negative) (Medaillen; Pisanello; Stadtansicht von Mailand; Reiterdenkmäler auf Münzen und anderswo), 2 Zeitungsausschnitte (Frankfurter Rundschau 1899 1903; Schubring Rez. Franz. Renaissance; Anküdigung zu Toscanawerk), 17 Briefe (1 Eichbaum 1890; 1 Valton [?] 1891; 1 Eugene Deully [Palais des Beaux Arts; Lille] 1908; 1 Karte C. Neumann 1904; 1 Jacopo Benetti [Bologna] 1903; 1 + 1 Karte Adler 1902 / 1904; 1 M. Alioth 1901; 1 + 1 Karte Frizzoni 1901; 1 Dimier 1901; 1 Francois D... ? 1901; 1 Inst. de France [Lawounetz ?] 1901; 3 E. Hermann 1901; 1 I. Zemp 1901; 1 Grüninger 1900; 1 Müntz 1901), 1 Postaufgabeschein: (in 10 Umschläge)";;;97;PIA 01.04.2015;;;;
V.6.25;Sammlung lose Blätter;Florentiner Paläste ;T;;;1907, 1909;;"104 Notizen und Skizzen, 3 Abschriften (maschinell; aus Bibl. Nazionale), 1 Zeichnung (Transparentpapier; Palazzo Uggoccioni), 3 Briefe (2 Willich 1909; 1 H. Brockhaus 1907; Institut Florenz), 5 Visitenkarten (H. P. Néot; L. Bernier; Constant Moyaux; H. Daumet; J. L. PAscal): (in 24 Umschläg; Toscana; Paläste von Florenz; Vignola in Piacenza)";;;116;PIA 01.04.2015;;;;
VI.1.1.a;Sammlung lose Blätter;"o . Aufschrift; Zeitungen zu den 4. Centenario di Raffaelo";Raf;;;1883;;"11 Zeitungen (1 Italia evangelica 1883; 1 La Riforma 1883; 1 Nationalzeitung 1883 [Hermann Grimm]; 1 The Times 1883; 7 Feuilleton Allgemeine Schweizer Zeitung 1883): (in 3 Umschläge)";;;11;;;;;
VI.1.1.b;Sammlung lose Blätter;"o . Aufschrift; Colle in Val d'Elsa";T;;;1890;;"23 Notizen und Skizzen, 2 Zeitungsausschnitte (Arte e Storia 1890), 2 Visitenkarten (Dai FF. Bordi; ?)";;;27;;> 9397 (6x Skizzen) - 9402;;;
VI.1.1.c;Sammlung lose Blätter;"o. Aufschrift; Notes (Du Cerceau)";DC;;;1885, 1886;;59 Notizen und Skizzen, 1 Brief (Foulc [Kunstsammler] 1886);;;60;;"> 9403 (6x Skizzen; Brief) - 9408";;;
VI.1.2;Sammlung lose Blätter;Vorschläge Notizen (Durm);Rf (?) S;;;;;109 Notizen und Skizzen (Material zu 'Architektur und Religion' [veröffentlicht nach dem Tod Geymüllers]): (in 6 Umschläge);;;109;;;;;
VI.1.3;Sammlung lose Blätter;o . Aufschrift;Raf S;;;1883, 1886, 1887, 1888, 1898;XXX;"111 Notizen und Skizzen (u.a. Exzerpte), 6 Zeichnungen (Transparentpapier), 19 Briefe (1 Gio. Gally 1883; 16 Emanuel LaRoche 2x ? 4x 1887 8x 1888; 2 Ed. Hibis-Heusler), 1 Aufgabeschein (1898), 1 Überweisungsschein, 1 Bibliotheksschein: (in 3 Umschläge)";;;139;[Briefe von LaRoche über Rahmen von Holbein];"> 9409 (2x Brief) - 9410 (15 Skizzen; Zeichnungen) - 9425 (5x Briefe) - 9430 (5x Skizzen) - 9435 (2x Skizzen) - 9437 (4x Brief; Skizze) - 9441 (5x Skizzen) - 9446";;;
VI.1.4;Sammlung lose Blätter;Technisches. Motive (Toscana);T;;;;;108 Notizen und Skizzen, 1 Blatt Toscanawerk, 2 Buchprospekt (über Florenz): (in 15 Umschläge);;;111;;;;;
VI.1.5;Sammlung lose Blätter;France;Rf S;;;1888, 1891, 1894, 1907;;"85 Notizen und Skizzen, 3 Fotos (1 Nancy, 2 Savoi 1888), 1 Abbildung, 1 Zeichnung (Transparentpapier), 5 Ansichtskarten (1 Annecy Chateau; 2 Dardanellen; 2 Norwich [England] 1891), 9 Zeitungsausschnitte (6 Chronique des Arts 1894 1907; 2 Le mond illustre; 1 ... ?), 1 Prospekt: (in 12 Umschläge; Griechenland; Türkei)";;;103;;"> 9447 (2x Ansichtskarten) - 9448 (3x Ansischtskarte; Skizze) (2x Skizzen) - 9453 (1x Abbildung) - 9454 (3x Fotos) - 9457 (1x Skizze) - 9458 (12x Skizzen) - 9470 (4x Ansichtskarte; Skizzen) - 9474 (1x Zeichnung) - 9475 (1x Skizze) - 9476 (1x Foto) - 9477 (1x Skizze) - 9478";;;
VI.1.6;Sammlung lose Blätter;Italie;B (?) S (?);;;1892, 1893, 1900, 1901, 1902, 1903, 1904, 1909;;"35 Notizen und Skizzen, 1 Zeichnung (Transparentpapier), 3 Fotos (Chignolo), 1 Abbildung, 5 Ansichtskarten (3 Berta [Holland]; 2 [?; am Largo di Garda]), 14 Zeitungsausschnitte (7x Arte e Storia 1892 1893 1900 1902; Chronique des Arts 1893; u.a.), 9 Briefe (1 Max Alioth 1904; 1 Karte C. Giraudon 1902; 3 Karten ... ? 1902; 1 Karte Elsi [Tochter] 1903; 1 an Familie [Cremona]; 1 Karte Georges Karo [an Berta; aus San Marino] 1902; 1 Karte Gigi [Cousin] 1909): (in 13 Umschläge)";;;66;;"> 9479 (1x Skizze) (5x Ansichtskarte; Skizze) - 9485 (3x Fotos) - 9488 (1x Abbildung) - 9489 (7x Brief Alioth) - 9496 (3x Ansichtskarte) - 9499 (2x Ansichtskarte) (1x Zeichnung) (...) - 9504 (3x Ansichtskarten) - 9507";;;
VI.1.7;Sammlung lose Blätter;Laubwerk (Toscana);T;;;;;84 Notizen und Skizzen (Toscanawerk);;;84;;;;;
VI.1.8;Sammlung lose Blätter;o. Aufschrift (Toscanawerk, Villen);T;;;1899;;"371 Notizen und Skizzen, 1 Karte (Hülsen 1899), 1 Mitteilung (O. Brioschi): (in 11 Umschläge; Toscana; Villen)";;;373;;> 9508 (5x Skizzen) - 9512 (1x Skizze) - 9513 (2x Skizze) - 9515 (2x Skizze) - 9517 (2x Karten) - 9519;;;
VI.1.9;Sammlung lose Blätter;Tableau graphique (Rf);Rf;;;1894, 1895;XXX;"295 Notizen und Skizzen (graphische Darstellung der Entwicklung der Renaissance), 4 Zeitungsausschnitte (1 Revue Encyklopedique 1894; 3 Chronique des Arts), 1 Karte Müntz ? (1895): (in 8 Umschläge)";;;300;;"> 9520 (5x Skizzen) - 9524 (1x Skizze) - 9525 (7x Skizzen; Diagramm) - 9532";;;
VI.1.10;Sammlung lose Blätter;Elemente des Gesamtüberblicks (Toscana);T;;;1904, 1905, 1906;;"358 Notizen und Skizzen (1 Blatt Transparentpapier), 1 Manuskrip (5 Blätter maschinell), 10 Zeitungsausschnitte (7 Allgemeine Zeitung 1904-1906; 1 Literarische Rundschau 1906; 1 L'Eglise libre 1905; 1 Deutsche Revue 1905): (in 9 Umschläge)";;;373;;> 9533 (1x Zeichnung) (4x Skizzen) - 9537;;;
